# x1,x2,x3,x4,y
-1.254598811526375091e+00,4.507143064099160767e+00,2.319939418114050689e+00,9.865848419703659999e-01,6.910297946072741837e+00
-3.439813595575635041e+00,-3.440054796637973311e+00,-4.419163878318005168e+00,3.661761457749351578e+00,-2.821980241618333451e+01
1.011150117432087825e+00,2.080725777960454437e+00,-4.794155057041975532e+00,4.699098521619943014e+00,-1.869763864916302509e+01
3.324426408004217848e+00,-2.876608893217238450e+00,-3.181750327928993816e+00,-3.165954901465661830e+00,2.045370967606008605e+01
-1.957577570404622769e+00,2.475643163223786303e-01,-6.805498135788425884e-01,-2.087708598019580641e+00,7.778507418265052209e+00
1.118528947223794923e+00,-3.605061393479581433e+00,-2.078553514647818456e+00,-1.336381567063082976e+00,5.507631844540711086e+00
-4.393001578296402698e-01,2.851759613930136439e+00,-3.003262178416402861e+00,1.423443841361162754e-01,-2.086734424813076672e+01
9.241456886204248988e-01,-4.535495872800022532e+00,1.075448519014383209e+00,-3.294758763127084933e+00,2.768467988266060775e+00
-4.349484070147204839e+00,4.488855372533333110e+00,4.656320330745593594e+00,3.083973481164610675e+00,3.054223555738002105e+01
-1.953862308266293368e+00,-4.023278859936160856e+00,1.842330265121568722e+00,-5.984750626039865296e-01,-1.527750436392293132e+01
-3.779617651552211743e+00,-4.823089888729814589e-02,-4.656114788847816044e+00,4.093204020787821307e+00,-2.996214883337268020e+01
-2.412200183999830827e+00,1.625222843539820161e+00,-1.882889239105890233e+00,2.006802117781081307e-01,-5.120559200978735070e+00
4.671027934327964815e-01,-3.151455444744729384e+00,4.695846277645586042e+00,2.751328233611145535e+00,-2.547521429157684736e+01
4.394989415641891384e+00,3.948273504276487600e+00,9.789997881108511990e-01,4.218742350231167393e+00,3.519365417463684764e+01
-4.115074979480804807e+00,-3.040171375808547793e+00,-4.547727110894619784e+00,-1.746696692367356363e+00,-8.076861784878170525e+00
-1.113227103105179694e+00,-2.286509682261041121e+00,3.287375091519294301e+00,-1.432466733064106990e+00,-1.499674422794559270e+01
-2.190654903126192377e+00,4.269608315824848788e-01,-3.590757750252373537e+00,3.021969807540397568e+00,-1.952943469971329549e+01
-4.254493563202291995e+00,4.868869366005172949e+00,2.722447692966573740e+00,-3.012843184658275941e+00,4.815243023261810862e+01
-4.944778828763976009e+00,3.154614284548340919e+00,2.068573438476171589e+00,2.290071680409873522e+00,2.743241353180355446e+01
2.712703466859457180e+00,-4.259553482659096169e+00,-1.415342714557273673e+00,-3.841309404748702860e+00,2.433109014538065651e+01
3.631034258755935440e+00,1.232981268275579190e+00,-1.691019751473508137e+00,-4.364416497139763429e+00,8.919092393714864286e+00
-1.890176782843377978e+00,-1.748166779732529541e+00,2.296061783380640264e+00,1.375574713552131456e+00,-9.415234804372154542e+00
3.872127425763265407e+00,-2.778507483805068290e-01,-3.804057540616982980e+00,2.132447872229949581e+00,1.280399657445178185e+01
2.607850486168974413e+00,6.127719756949625562e-01,2.709671799545610327e+00,-6.204403635609256895e-02,-1.338691314276942324e+00
2.273282938199407965e-01,-7.245898164145039289e-01,-4.745808732559048337e+00,-3.921085730066955488e+00,-3.805124537489837699e+00
-4.685708143132657710e+00,1.364104112637804178e+00,-1.856440189236733040e+00,8.570691164702815001e-02,7.208045010928621821e+00
4.075664739260929537e+00,-2.507077708511250336e+00,-8.961707696437031245e-01,2.555511385430486726e+00,3.674025373142449524e+01
-2.712018345083775372e+00,-4.230200901712070305e+00,-2.102485470862319517e+00,-3.387787127459955805e+00,1.248830906131651020e+01
4.296976523425730221e+00,3.081203795644169574e+00,1.334037565104234879e+00,3.714605901877177985e+00,3.234577012358278125e+01
3.036720768991145292e+00,-3.134299411139641833e+00,3.925589984899778173e+00,3.934224191565069972e-01,-1.210786514841624140e+01
3.074401551640624675e+00,3.960912999234931675e+00,-1.819965250281361246e+00,-3.899480754723232412e+00,-1.059075838837977734e+01
-2.720648374580583173e+00,-7.289221137374370940e-01,3.180147659224930479e+00,3.607305832563433512e+00,-2.599070701511743575e+00
-4.930478694688092745e+00,1.074730257756577601e-01,-8.258899685122100820e-01,-2.778921895292697286e+00,3.229583449270374018e+01
-3.801346326663171737e+00,-1.623848285963720439e+00,4.429097039125192481e+00,-1.767970679792447708e+00,-7.191029803122862774e+00
1.879062174336612046e-01,2.030189588951778035e+00,-1.363703976207060187e+00,4.717820827209607160e+00,9.925612737153318932e+00
4.624472949421111423e+00,-2.482177041746358448e+00,-2.751494107614504969e-02,-1.991216901832303598e+00,2.431007962840330805e+01
-2.151595056225323876e+00,-4.631130526454672491e+00,1.095643339798968441e+00,2.679023228861510120e-02,-1.606179618131817222e+01
-4.485212487500106704e+00,-2.213535357633885425e+00,4.082658859666537410e+00,-2.604381093330276009e+00,2.110162120403218378e+00
-3.551051279087769075e+00,-1.054723972243696295e-01,4.856504541106007267e+00,-2.579447284884995639e+00,3.184181341407092081e+00
1.721355474058785973e+00,2.616196153287175363e+00,-2.623624560076003309e+00,2.282163486118595763e+00,-8.999873505702543852e+00
-1.322168672807467971e+00,1.323058305935794543e+00,1.335297107608947265e+00,3.577468407475850043e-01,1.682884544281383121e+00
-4.097102299455917418e+00,3.353024955892379921e+00,-1.792199350282641657e+00,-3.134814896001457463e+00,2.617218167457427214e+01
-4.592248584452360838e+00,9.089294318824183705e-01,1.775643618422824588e+00,-4.834121710721438703e+00,5.566556999115609017e+01
1.209305829928100096e-01,-2.735042248020620459e+00,1.451727904094498811e+00,-3.256335709950085366e+00,2.619691353564357783e+00
1.909377381024659925e+00,-1.132646536994625919e+00,4.367299887367344979e+00,-3.624790558540067487e+00,-1.602438894387339374e+01
-1.589336489497414906e+00,-3.865264787594109297e+00,4.246936182785628233e+00,3.773393533809809242e+00,-2.880437856525088947e+01
-2.420583722848443919e+00,1.599840460341789949e+00,3.172222002012158981e+00,5.520081159946235161e-01,3.519448424130098729e+00
2.965057835600646285e-01,-2.581477090995483170e+00,-4.068972321941007664e+00,3.972157579533266869e+00,-3.660626730523040884e+00
4.004180571633304098e+00,1.331014572732679646e+00,-1.609702089512992984e+00,-1.507904253873391109e+00,4.486995661706595584e+00
2.259556788702393959e+00,3.971102599525771382e+00,3.870864242651173015e+00,2.798755458576238198e+00,8.362347444635204852e+00
1.420316461542877384e+00,-4.158600350049511896e+00,-3.383712859053862321e+00,3.985541885270793117e+00,1.445460141738802307e+01
1.064290596595899530e+00,-4.908029483833703743e+00,-3.985284571339678727e+00,1.635017691080557611e+00,1.108168244784588419e+00
-4.949384161537812687e+00,-3.391919485825013680e+00,4.873378936658614435e-01,1.918951976926932090e+00,-9.204549208081044043e+00
1.519612595026005764e+00,-2.757306905394401930e+00,2.121792213475358402e+00,-2.627509125031999293e+00,-2.945909689260808761e+00
-1.746003018407322749e+00,2.464914051180241650e+00,1.496328990472147069e+00,3.492234104941779549e+00,1.124883350673513327e+01
1.576128923003433435e+00,6.830860333547157381e-01,-4.063252321719074800e+00,-1.322841969405664564e+00,-1.622549838817192835e+01
-2.347976323182745517e+00,-2.560103566209164239e+00,4.730105547524456000e+00,-1.069022753332395936e+00,-2.777706240274688554e+01
3.920465551771133761e+00,1.311386259972628920e+00,2.948113035416484173e+00,2.637093105192089837e-02,2.790216704969973094e+00
7.690388462635908695e-01,-7.482306181136078038e-02,-3.047570122019554795e+00,2.224521152615053232e+00,-6.746128521042495052e+00
-2.192276375591442061e+00,-4.756840335685462051e+00,1.454722959071678368e+00,-3.228893205929510568e+00,-1.545891507110991991e+00
4.404585843529142508e+00,4.539285770025873745e+00,4.148643902204485201e+00,-1.298412997445556272e+00,-1.212362308760623009e+01
-4.845433834711325716e+00,4.283185625877253599e+00,-7.181585168268567188e-01,4.666548190436696331e+00,1.949404609493542750e+01
4.636199770892527994e+00,3.530094554673601337e+00,-2.055511079304142896e+00,-1.149022713980747401e+00,-8.015905874010666565e+00
3.511366715168568575e+00,-1.830779948437223581e+00,-3.305072533139075119e+00,5.680126245835017684e-01,1.428653947342849229e+01
4.361547741607809670e+00,1.960297966749729781e+00,7.006117008936492141e-01,-4.028235062292314872e+00,6.943933983254618525e+00
1.150072266991697845e+00,4.900538501042632333e+00,-3.599159847634759934e+00,1.832965236373675921e-01,-3.801249467358996981e+01
3.773730719279553725e+00,2.407686177542044170e+00,1.970157409952680183e+00,2.024840839871092868e+00,1.514188187821979881e+01
-1.405088487802448327e+00,-2.064081557355066376e+00,3.093611554785136164e+00,3.101133946791808427e+00,-1.087840013388132121e+01
3.670723185801037403e+00,4.132405525564713855e+00,1.134239886093784122e-01,1.516294687199604141e-02,-2.932018853650784962e+00
2.982951789667751541e+00,1.499639307777651531e+00,2.019668772577033700e+00,2.957926694361010078e+00,1.858572559390252010e+01
3.900053418175662756e+00,-1.620048431484641949e+00,-1.244170473600560101e+00,-4.060180601591310001e+00,2.305916037908813365e+01
7.828014099617401911e-01,-4.640577262032579142e+00,-3.440198186753988807e-01,4.264463470757657859e-01,-3.694113689152558888e-01
-2.134587478717155928e+00,9.083326056901075418e-01,-4.694997500609505714e+00,-4.626518112507856273e+00,3.426817671041426205e+00
3.226005606596583419e+00,-1.398093585887370871e+00,-3.729394873481152395e+00,2.224326005480437018e-01,6.621328362825543934e+00
2.699935530986108390e+00,-2.841789725031568459e+00,1.228904758190002333e+00,-4.146525350062320037e+00,1.231968329517744287e+01
-4.483182788313922806e+00,3.135463156814797259e-01,4.063512161010649493e-01,1.374299014982065970e+00,9.204814749759645309e+00
2.260913337226615027e+00,4.758520794625345829e+00,1.630034830119528877e-01,-1.770435270587540355e+00,-9.783700949290031090e+00
2.951861947687036469e+00,-2.291677487379257805e+00,-6.102857929436389384e-01,-4.215436186577340649e+00,2.078693619549260774e+01
